"trade_count","current_datetime","currency","volume","buy_exchange","buy_price","total_purchase_amount","sell_exchange","sell_price","total_sale_amount","profit","spread_percentage","wallet_balance"
4215,"2024-04-11T00:50:51.771634","polygon",1079.7266094691204,"Poloniex",0.88317,953.5821496848431,"Binanceus",0.8858,956.4218306677469,2.8396809829038148,0.297790912281896,2225.0250159313005
4216,"2024-04-11T00:51:20.373098","polygon",1080.691207785267,"Poloniex",0.88317,954.4340539797141,"Binanceus",0.8858,957.2762718561894,2.8422178764752744,0.297790912281896,2227.012792619333
4217,"2024-04-11T00:51:49.741689","polygon",1081.852662305814,"Poloniex",0.88301,955.2867193426567,"Binanceus",0.886,958.5214588029512,3.2347394602944632,0.33861451172693946,2229.0023451328657
4218,"2024-04-11T00:52:18.985337","polygon",1082.755461780569,"Poloniex",0.88317,956.2571411807452,"Binanceus",0.8862,959.5378902299402,3.2807490491950375,0.34308230578484067,2231.2666627550716
4219,"2024-04-11T00:52:47.452427","polygon",1083.8698845018553,"Poloniex",0.88317,957.2413658955036,"Binanceus",0.8862,960.5254916455441,3.2841257500405163,0.34308230578484067,2233.5631870895086
4220,"2024-04-11T00:53:16.235245","polygon",1084.9854542392923,"Poloniex",0.88317,958.2266036205158,"Binanceus",0.8865,961.8396051831326,3.6130015626167733,0.3770508509120491,2235.862075114537
4221,"2024-04-11T00:53:44.666271","polygon",1086.2127383055367,"Poloniex",0.88317,959.3105040893009,"Binanceus",0.8863,962.7103499601972,3.399845870896229,0.3544051541605768,2238.3911762083685
4222,"2024-04-11T00:54:13.654274","polygon",1087.3676164844478,"Poloniex",0.88317,960.3304578505698,"Binanceus",0.8863,963.733918490166,3.403460639596233,0.3544051541605768,2240.7710683179957
4223,"2024-04-11T00:54:42.645417","polygon",1088.5237225476958,"Poloniex",0.88317,961.3514960424485,"Binanceus",0.8863,964.7585752940228,3.4070792515742596,0.3544051541605768,2243.1534907657133
4224,"2024-04-11T00:55:11.327142","polygon",1089.6810578007867,"Poloniex",0.88317,962.3736198179208,"Binanceus",0.886,965.457417211497,3.0837973935762193,0.32043660903336835,2245.5384462418156
4225,"2024-04-11T00:55:40.081147","polygon",1090.7285789100556,"Poloniex",0.88317,963.2987590359938,"Binanceus",0.8862,966.6036666300913,3.3049075940974717,0.34308230578484067,2247.6971044173188
4226,"2024-04-11T00:56:08.554626","polygon",1091.8512079375694,"Poloniex",0.88317,964.2902313142232,"Binanceus",0.8862,967.5985404742739,3.308309160050726,0.34308230578484067,2250.010539733187
4227,"2024-04-11T00:56:37.055965","polygon",1092.9749924275488,"Poloniex",0.88317,965.2827240622383,"Binanceus",0.8856,967.9386532938373,2.655929231598975,0.2751452155304237,2252.3263561452227
4228,"2024-04-11T00:57:05.458735","polygon",1093.8771729471314,"Poloniex",0.88317,966.0795028317181,"Binanceus",0.8859,969.0657875138637,2.9862846821456515,0.3091137606576322,2254.185506607342
4229,"2024-04-11T00:57:34.890806","polygon",1094.891570407013,"Poloniex",0.88317,966.9753882363617,"Binanceus",0.8859,969.9644422235729,2.9890539872111503,0.3091137606576322,2256.275905884844
4230,"2024-04-11T00:58:03.514476","polygon",1095.9069085595356,"Poloniex",0.88317,967.8721044325251,"Binanceus",0.886,970.9735209837486,3.1014165512234513,0.32043660903336835,2258.368243675892
4231,"2024-04-11T00:58:32.424578","polygon",1096.9604146403208,"Poloniex",0.88317,968.8025293978922,"Binanceus",0.887,973.0038877859646,4.2013583880724354,0.43366509279074245,2260.539235261748
4232,"2024-04-11T00:59:01.028450","polygon",1098.387554960329,"Poloniex",0.88317,970.0629369143138,"Binanceus",0.8877,975.0386325382841,4.975695623970296,0.5129250314209081,2263.480186133399
4233,"2024-04-11T00:59:29.513863","polygon",1100.0777263737502,"Poloniex",0.88317,971.555645601505,"Binanceus",0.8877,976.5389977019781,4.983352100473098,0.5129250314209081,2266.963173070178
